usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
121460,99999,2019-04-08 05:30:00,54.248,18.672,6.0,280.0,1.0,3.0,,,,,,,,PRUSZCZ GDANSKI,PL,121460-99999,2019,8,1.0
720386,00125,2019-04-02 12:55:00,45.117,-95.133,343.0,220.0,3.6,-1.0,,SCT,,,,,,WILLMAR MUNICIPAL AIRPORT JOHN L RICE FIELD,US,720386-00125,2019,2,1.0
945952,99999,2019-04-01 19:30:00,-20.358,148.952,5.0,130.0,12.4,25.0,,,,,,,,HAMILTON ISLAND,AS,945952-99999,2019,1,1.0
723405,03930,2019-04-07 23:22:00,34.917,-92.15,95.0,130.0,2.1,18.0,1013.0,,,,,,,LITTLE ROCK AFB AIRPORT,US,723405-03930,2019,7,1.0
999999,22016,2019-04-06 08:10:00,29.348,-103.209,1065.0,,,20.0,,,,,,,,PANTHER JUNCTION 2 N,US,999999-22016,2019,6,1.0
723200,93801,2019-04-10 03:57:00,34.348,-85.161,196.0,0.0,0.0,14.4,,FEW,,,,,,RICHARD B RUSSELL AIRPORT,US,723200-93801,2019,10,1.0
723626,03737,2019-04-01 22:40:00,36.399,-76.016,5.0,,,6.3,,CLR,,,,,,CURRITUCK COUNTY AIRPORT,US,723626-03737,2019,1,1.0
722316,12958,2019-04-10 01:55:00,29.817,-90.017,0.0,0.0,0.0,20.6,1009.6,FEW,,,,,,NEW ORLEANS NAS,US,722316-12958,2019,10,1.0
720616,00207,2019-04-03 04:15:00,36.533,-93.2,397.0,0.0,0.0,13.0,,CLR,,,,,,BRANSON AIRPORT,US,720616-00207,2019,3,1.0
725408,04881,2019-04-02 08:35:00,45.983,-86.183,209.0,320.0,2.1,0.0,,,,,,,,SCHOOLCRAFT COUNTY AIRPORT,US,725408-04881,2019,2,1.0
067980,99999,2019-04-10 11:00:00,46.8,10.283,1295.0,170.0,1.0,2.7,,,,,1.0,0.0,,SCUOL,SZ,067980-99999,2019,10,1.0
999999,25630,2019-04-14 20:05:00,55.347,-160.466,73.0,,,6.1,,,,,,,,SAND POINT 1 ENE,US,999999-25630,2019,14,1.0
726590,14929,2019-04-06 10:10:00,45.443,-98.413,396.0,30.0,4.1,3.9,,,,,,,,ABERDEEN REGIONAL AIRPORT,US,726590-14929,2019,6,1.0
999999,63899,2019-04-02 16:35:00,31.145,-87.052,52.0,308.0,2.6,17.9,,,,,,,,BREWTON 3 NNE,US,999999-63899,2019,2,1.0
999999,00327,2019-04-13 19:55:00,47.423,-98.106,434.0,340.0,2.6,6.0,,,,,,,,,,999999-00327,2019,13,1.0
070150,99999,2019-04-10 15:00:00,50.567,3.1,52.0,30.0,6.7,13.0,1016.3,,0.0,,3.0,0.0,,LESQUIN,FR,070150-99999,2019,10,1.0
714330,99999,2019-04-05 15:00:00,47.339,-85.817,187.0,,,-0.7,1018.9,,,,,,,CARIBOU ISLAND (AUT)  ONT,CA,714330-99999,2019,5,1.0
722128,53899,2019-04-08 12:40:00,35.483,-81.161,267.0,230.0,1.5,18.2,,,,,,,,LICONTN-LINCOLN CO RGNL AP,US,722128-53899,2019,8,1.0
715190,99999,2019-04-01 21:00:00,49.867,-111.383,799.0,310.0,3.6,9.0,,,,,3.0,0.0,,BOW ISLAND IRRIGATION AGDM,CA,715190-99999,2019,1,1.0
761600,99999,2019-04-03 05:41:00,29.096,-111.048,191.0,330.0,1.5,21.0,1015.0,CLR,,,,,,GENERAL IGNACIO P GARCIA INTL,MX,761600-99999,2019,3,1.0
999999,96404,2019-04-01 13:55:00,62.737,-141.208,610.0,,,-4.3,,,,,,,,TOK 70 SE,US,999999-96404,2019,1,1.0
713680,99999,2019-04-12 12:00:00,43.467,-80.383,321.0,100.0,4.6,3.7,1011.2,BKN,,,24.0,0.0,,WATERLOO,CA,713680-99999,2019,12,1.0
643870,99999,2019-04-07 21:00:00,-1.969,30.139,1481.0,280.0,1.5,21.0,,,,,,,,KIGALI INTL,RW,643870-99999,2019,7,1.0
724856,99999,2019-04-11 16:55:00,38.544,-118.634,1285.0,360.0,6.2,10.0,,CLR,,,,,,HAWTHORNE INDUSTRIAL,US,724856-99999,2019,11,1.0
151200,99999,2019-04-14 09:00:00,46.783,23.567,414.0,,,10.4,1015.2,BKN,2.0,6.0,,,,CLUJ NAPOCA,RO,151200-99999,2019,14,1.0
999999,00271,2019-04-07 02:55:00,34.817,-82.7,309.0,0.0,0.0,17.1,,,,,,,,,,999999-00271,2019,7,1.0
A00032,25715,2019-04-05 22:43:00,52.22,-174.206,17.0,90.0,2.1,6.0,,,,,1.0,0.0,,ATKA AIRPORT,US,A00032-25715,2019,5,1.0
999999,53136,2019-04-10 08:00:00,36.624,-116.023,1001.0,,4.8,9.4,,,,,1.0,0.0,,MERCURY 3 SSW,US,999999-53136,2019,10,1.0
868740,99999,2019-04-05 10:00:00,-22.451,-44.445,439.0,66.0,0.9,22.5,1011.9,,,,99.0,9999.0,,RESENDE,BR,868740-99999,2019,5,1.0
818270,99999,2019-04-06 02:00:00,-5.035,-42.801,75.0,0.0,0.0,24.0,1014.5,,,,99.0,9999.0,,TERESINA,BR,818270-99999,2019,6,1.0
720393,00129,2019-04-12 13:55:00,34.85,-102.333,1153.0,140.0,4.6,4.5,,CLR,,,,,,HEREFORD MUNICIPAL AIRPORT,US,720393-00129,2019,12,1.0
999999,63897,2019-04-05 01:55:00,32.335,-86.979,48.0,105.0,0.7,15.1,,,,,,,,SELMA 6 SSE,US,999999-63897,2019,5,1.0
747910,13717,2019-04-03 09:56:00,33.683,-78.933,8.0,320.0,2.1,3.3,1025.2,CLR,,,,,,MYRTLE BEACH INTL AIRPORT,US,747910-13717,2019,3,1.0
028340,99999,2019-04-09 02:00:00,63.841,27.221,206.0,48.0,7.0,-2.9,1012.6,OVC,,,,,58.0,VIEREMA KAARAKKALA,FI,028340-99999,2019,9,1.0
350920,99999,2019-04-03 03:00:00,52.5,73.1,168.0,280.0,6.0,3.3,,,,,,,,BESTOBE,KZ,350920-99999,2019,3,1.0
014850,99999,2019-04-15 00:00:00,59.619,10.215,60.0,25.0,1.3,-0.9,,,,,6.0,9999.0,,DANDE-GALLEBERG,NO,014850-99999,2019,15,1.0
744550,94982,2019-04-03 06:52:00,41.614,-90.591,230.0,260.0,4.1,3.3,1021.0,FEW,,,1.0,0.0,,DAVENPORT MUNICIPAL AIRPT,US,744550-94982,2019,3,1.0
408000,99999,2019-04-07 01:00:00,32.751,51.862,1546.0,140.0,2.1,11.0,,CLR,10.0,,,,,ESFAHAN SHAHID BEHESHTI INTL,IR,408000-99999,2019,7,1.0
419780,99999,2019-04-04 06:00:00,22.25,91.813,4.0,230.0,5.1,30.0,,,5.0,,,,,SHAH AMANAT INTL,BG,419780-99999,2019,4,1.0
720288,03711,2019-04-04 15:40:00,36.361,-78.529,161.0,80.0,3.6,18.0,,CLR,,,,,,HENDERSON-OXFORD AIRPORT,US,720288-03711,2019,4,1.0
719600,99999,2019-04-09 00:00:00,69.6,-130.9,102.0,270.0,7.2,-13.6,1010.0,OVC,,,24.0,9999.0,,LIVERPOOL BAY,CA,719600-99999,2019,9,1.0
062400,99999,2019-04-03 10:00:00,52.317,4.783,-3.0,170.0,5.0,8.6,1001.5,OVC,,,1.0,0.0,,SCHIPHOL,NL,062400-99999,2019,3,1.0
999999,03733,2019-04-08 03:40:00,39.013,-79.474,1033.0,,,12.9,,,,,,,,ELKINS 21 ENE,US,999999-03733,2019,8,1.0
032750,99999,2019-04-14 14:00:00,54.567,-0.867,159.0,110.0,8.2,6.4,1028.6,,,,,,,LOFTUS,UK,032750-99999,2019,14,1.0
727467,04926,2019-04-13 07:55:00,49.318,-94.903,329.0,340.0,4.6,-3.0,,,,,,,,FLAG ISLAND,US,727467-04926,2019,13,1.0
716630,99999,2019-04-07 04:00:00,53.117,-109.4,638.0,130.0,3.1,0.3,1003.8,,,,,,,WASECA RCS,CA,716630-99999,2019,7,1.0
033160,99999,2019-04-11 10:00:00,53.5,-3.067,9.0,150.0,6.2,7.6,1027.6,,,,,,,CROSBY,UK,033160-99999,2019,11,1.0
028450,99999,2019-04-14 14:00:00,66.567,25.817,194.0,,,7.2,,,,,,,,ROVANIEMI,FI,028450-99999,2019,14,1.0
720599,00192,2019-04-01 03:35:00,34.783,-81.2,200.0,340.0,3.1,8.0,,CLR,,,,,,CHESTER CATAWBA REGIONAL AIRPORT,US,720599-00192,2019,1,1.0
483540,99999,2019-04-09 04:00:00,17.386,102.788,176.0,,3.1,35.0,,,,,,,,UDON THANI,TH,483540-99999,2019,9,1.0
726409,04897,2019-04-14 05:35:00,43.041,-88.237,278.0,350.0,2.1,0.0,,CLR,,,,,,WAUKESHA COUNTY AIRPORT,US,726409-04897,2019,14,1.0
720504,99999,2019-04-05 06:15:00,33.57,-86.051,161.0,270.0,1.5,16.6,,,,,,,,TALLADEGA MUNI,US,720504-99999,2019,5,1.0
426230,99999,2019-04-14 09:00:00,24.76,93.897,774.0,200.0,2.1,30.0,,,5.0,,,,,IMPHAL,IN,426230-99999,2019,14,1.0
974060,99999,2019-04-01 21:00:00,1.817,127.833,9999.0,0.0,0.0,21.6,1009.9,FEW,,,,,,GALELA/GAMARMALAMU,ID,974060-99999,2019,1,1.0
720635,00221,2019-04-12 03:35:00,35.3,-112.2,2035.0,260.0,2.1,2.0,,CLR,,,,,,H A CLARK MEMORIAL FIELD AIRPORT,US,720635-00221,2019,12,1.0
829170,99999,2019-04-07 09:00:00,-9.869,-67.894,193.0,200.0,1.0,20.0,,,,,,,,PRESIDENTE MEDICI,BR,829170-99999,2019,7,1.0
038080,99999,2019-04-11 18:00:00,50.218,-5.327,87.0,110.0,3.1,8.2,1025.2,BKN,,,12.0,9999.0,,CAMBORNE,UK,038080-99999,2019,11,1.0
726384,14817,2019-04-14 16:15:00,44.283,-85.417,398.0,60.0,6.2,3.1,,,,,,,,WEXFORD COUNTY AIRPORT,US,726384-14817,2019,14,1.0
870970,99999,2019-04-04 08:00:00,-25.55,-54.45,270.0,50.0,2.1,22.6,1006.2,OVC,,,,,,CATARATAS DEL IGUAZU,AR,870970-99999,2019,4,1.0
802220,99999,2019-04-03 15:00:00,4.7,-74.15,2547.0,330.0,1.0,11.6,,OVC,10.0,4.0,24.0,50.0,,ELDORADO INTL,CO,802220-99999,2019,3,1.0
488550,99999,2019-04-03 06:00:00,16.044,108.199,10.0,60.0,3.6,32.0,,,,,,,,DANANG INTL,VM,488550-99999,2019,3,1.0
140310,99999,2019-04-11 17:00:00,46.653,16.196,188.0,331.0,1.4,6.7,1014.6,OVC,,,,,,MURSKA SOBOTA,SI,140310-99999,2019,11,1.0
914080,40310,2019-04-07 18:50:00,7.367,134.544,54.0,110.0,3.6,26.0,,,,,,,,BABELTHUAP/KOROR AIRPORT,PS,914080-40310,2019,7,1.0
655780,99999,2019-04-03 19:00:00,5.261,-3.926,6.0,,1.0,28.0,,,,,,,,ABIDJAN FELIX HOUPHOUET BOIGNY INTL,IV,655780-99999,2019,3,1.0
999999,94995,2019-04-04 10:50:00,40.848,-96.565,362.0,,,6.7,,,,,,,,LINCOLN 8 ENE,US,999999-94995,2019,4,1.0
999999,56401,2019-04-05 08:10:00,63.03,-145.5,814.0,,,-12.5,,,,,,,,GLENNALLEN 64 N,US,999999-56401,2019,5,1.0
072990,99999,2019-04-11 17:30:00,47.59,7.53,270.0,350.0,6.7,11.0,,,,,,,,BALE MULHOUSE,FR,072990-99999,2019,11,1.0
714820,99999,2019-04-07 12:00:00,52.18,-127.47,31.0,170.0,3.1,5.1,,,,,1.0,22.0,,CATHEDRAL POINT (AUT)  BC,CA,714820-99999,2019,7,1.0
111710,99999,2019-04-07 22:30:00,47.8,15.3,975.0,120.0,1.5,6.0,,,,,,,,ST SEBASTIAN/MARIAZELL,AU,111710-99999,2019,7,1.0
162420,99999,2019-04-07 11:50:00,41.804,12.251,5.0,260.0,3.6,15.0,,,,,,,,FIUMICINO,IT,162420-99999,2019,7,1.0
066060,99999,2019-04-13 05:00:00,47.05,7.067,431.0,0.0,0.0,0.8,1019.5,,,,1.0,0.0,,CRESSIER,SZ,066060-99999,2019,13,1.0
716040,99999,2019-04-07 06:00:00,46.82,-60.67,439.0,280.0,5.1,-3.1,,,,,,,,NORTH MOUNTAIN CS,CA,716040-99999,2019,7,1.0
011140,99999,2019-04-06 20:00:00,66.9,13.633,8.0,40.0,5.0,3.5,1019.6,,,,,,,REIPA,NO,011140-99999,2019,6,1.0
999999,00448,2019-04-06 00:35:00,32.931,-96.435,175.0,120.0,4.1,22.5,,,,,,,,,,999999-00448,2019,6,1.0
999999,00285,2019-04-11 01:55:00,48.48,-99.236,450.0,40.0,3.1,-1.0,,,,,,,,,,999999-00285,2019,11,1.0
941530,99999,2019-04-03 19:00:00,-13.975,136.46,16.0,100.0,1.0,26.0,,CLR,,,,,,GROOTE EYLANDT,AS,941530-99999,2019,3,1.0
683900,99999,2019-04-09 18:00:00,-25.884,31.501,480.0,210.0,1.5,22.0,,,,,,,,MAYIWANNE,WZ,683900-99999,2019,9,1.0
722071,53935,2019-04-09 03:35:00,35.096,-97.966,351.0,0.0,0.0,16.1,,CLR,,,,,,CHICKASHA MUNICIPAL ARPT,US,722071-53935,2019,9,1.0
263180,99999,2019-04-06 21:00:00,57.183,22.55,79.0,140.0,2.0,4.7,1016.8,,,,,,,STENDE,LG,263180-99999,2019,6,1.0
997698,99999,2019-04-02 03:00:00,40.8,-74.75,18.0,0.0,0.0,2.9,1029.2,,,,,,,NEWBOLD,US,997698-99999,2019,2,1.0
111440,99999,2019-04-08 06:00:00,47.327,12.795,770.0,140.0,1.0,7.0,,,,,12.0,7.0,,ZELL AM SEE (AUT),AU,111440-99999,2019,8,1.0
724467,13930,2019-04-14 05:56:00,38.717,-93.55,265.0,20.0,11.3,8.6,1008.1,,,,,,,WHITEMAN AFB AIRPORT,US,724467-13930,2019,14,1.0
648700,99999,2019-04-03 16:00:00,7.357,13.559,1114.0,20.0,3.1,35.0,,,,,,,,NGAOUNDERE,CM,648700-99999,2019,3,1.0
541610,99999,2019-04-15 00:00:00,43.996,125.681,215.0,180.0,5.0,10.0,,,,,,,,LONGJIA,CH,541610-99999,2019,15,1.0
121053,99999,2019-04-01 14:00:00,52.0,19.15,150.0,60.0,5.0,8.4,1028.8,FEW,,,,,,LECZYCA,PL,121053-99999,2019,1,1.0
623330,99999,2019-04-02 19:00:00,31.279,32.24,2.0,360.0,4.6,16.0,,,,,,,,PORT SAID,EG,623330-99999,2019,2,1.0
869920,99999,2019-04-11 23:00:00,-31.348,-54.013,226.0,246.0,2.7,19.7,1014.7,,,,99.0,9999.0,,BAGE,BR,869920-99999,2019,11,1.0
720285,03734,2019-04-01 06:55:00,37.521,-76.765,7.0,330.0,4.1,1.5,,CLR,,,,,,MIDDLE PENINSULA REGIONAL AIRPORT,US,720285-03734,2019,1,1.0
026480,99999,2019-04-07 22:00:00,56.85,14.833,200.0,120.0,1.0,5.2,1012.2,,,,1.0,0.0,,VAXJO,SW,026480-99999,2019,7,1.0
702626,99999,2019-04-07 20:56:00,57.58,-157.58,17.0,280.0,2.1,3.3,987.6,,,,,,,PILOT POINT,US,702626-99999,2019,7,1.0
720643,54940,2019-04-08 04:35:00,43.235,-93.624,375.0,290.0,2.1,7.0,,CLR,,,,,,FOREST CITY MUNICIPAL AIRPORT,US,720643-54940,2019,8,1.0
034620,99999,2019-04-11 17:50:00,52.613,-0.476,83.0,50.0,6.2,8.0,,CLR,,,,,,WITTERING,UK,034620-99999,2019,11,1.0
717660,99999,2019-04-03 03:00:00,49.333,-124.4,58.0,190.0,0.5,12.9,1005.7,,,,,,,QUALICUM BEACH AIRPORT,CA,717660-99999,2019,3,1.0
869680,99999,2019-04-11 12:00:00,-28.127,-49.48,1790.0,299.0,5.7,11.7,1020.7,,,,99.0,9999.0,,URUBICI,BR,869680-99999,2019,11,1.0
717520,99999,2019-04-07 01:00:00,42.97,-79.33,178.0,240.0,0.5,7.3,1023.7,,,,,,,WELLAND PELHAM,CA,717520-99999,2019,7,1.0
026790,99999,2019-04-04 08:00:00,56.921,18.151,34.0,125.0,8.6,7.0,1011.3,CLR,,,1.0,9999.0,,HOBURG A,SW,026790-99999,2019,4,1.0
110240,99999,2019-04-05 22:00:00,48.333,15.333,959.0,60.0,7.0,4.7,,,,,,,,JAUERLING,AU,110240-99999,2019,5,1.0
689180,99999,2019-04-01 12:00:00,-34.433,19.217,14.0,180.0,2.6,18.3,1024.3,,,,,,,HERMANUS,SF,689180-99999,2019,1,1.0
710267,99999,2019-04-13 16:00:00,46.3,-63.583,46.0,190.0,2.6,7.0,,,,,,,,MAPLE PLAINS,CA,710267-99999,2019,13,1.0
471220,99999,2019-04-07 07:58:00,37.091,127.03,12.0,270.0,5.7,18.0,1007.1,,,,,,,OSAN AB,KS,471220-99999,2019,7,1.0
